pmid,var_a,var_b,title,phrase_a,phrase_b,lit_sign,lit_est,basis,polarity_flipped,corpus_sign,corpus_absmag,corpus_q,agree,ta,tb,bb,lifestyle
15562213,alcohol,mets,Alcohol consumption and the prevalence of the Metabolic Syndrome in the US.: a cross-sectional analysis of data from the Third National Health and Nutrition Examination Survey.,Alcohol consumption,the Metabolic Syndrome,-1,,wording,,-1,0.1916591062615039,5.6152906433511786e-05,True,b,b,True,True
17053871,overweight,osteoporosis,Impact of increased overweight on the projected prevalence of osteoporosis in older women.,increased overweight,the projected prevalence of osteoporosis,1,,wording,,-1,1.4076769336830306,8.853839383573608e-22,False,b,b,True,False
19183541,htn,obesity,"Association of hypertension, diabetes, dyslipidemia, and metabolic syndrome with obesity: findings from the National Health and Nutrition Examination Survey, 1999 to 2004.","hypertension, diabetes, dyslipidemia,",obesity,1,4.8,effect size,,1,1.020484190157488,6.214382767104215e-196,True,b,b,True,False
19183541,mets,obesity,"Association of hypertension, diabetes, dyslipidemia, and metabolic syndrome with obesity: findings from the National Health and Nutrition Examination Survey, 1999 to 2004.",metabolic syndrome,obesity,1,4.8,effect size,,1,2.078597117801951,0.0,True,b,b,True,False
22114591,uric,dm,Association between Serum Uric Acid Levels and Diabetes Mellitus.,Serum Uric Acid Levels,Diabetes Mellitus,-1,,wording,,-1,0.133695189273616,0.0025348465533476,True,c,b,False,False
22000606,uric,mets,Racial/ethnic and sex differences in the relationship between uric acid and metabolic syndrome in adolescents: an analysis of National Health and Nutrition Survey 1999-2006.,uric acid,metabolic syndrome,1,,wording,,1,0.765097910818375,5.0492091326366445e-39,True,c,b,False,False
21693063,alcohol,mets,Alcohol use behaviors and risk of metabolic syndrome in South Korean middle-aged men.,Alcohol use behaviors,metabolic syndrome,1,2.99,effect size,,-1,0.1916591062615039,5.6152906433511786e-05,False,b,b,True,True
21601564,smoking,dyslipidemia,Gender differences in the association between smoking and dyslipidemia: 2005 Korean National Health and Nutrition Examination Survey.,smoking,dyslipidemia,1,,wording,,1,0.218347104822309,1.4705587054893577e-08,True,b,b,True,True
23236023,overweight,anemia,Being overweight or obese is associated with lower prevalence of anemia among Colombian women of reproductive age.,Being overweight or obese,lower prevalence of anemia,-1,,wording,,-1,0.5213646298077749,1.0823749967168096e-28,True,b,b,True,False
23017317,alcohol,dm,Alcohol consumption and the risk of type 2 diabetes mellitus: effect modification by hypercholesterolemia: the Third Korea National Health and Nutrition Examination Survey (2005).,Alcohol consumption,type 2 diabetes mellitus,-1,,wording,,-1,0.4123100076634175,1.3302566346638356e-08,True,b,b,True,True
22793651,vitd,mets,Vitamin D intake and status are associated with lower prevalence of metabolic syndrome in U.S. adults: National Health and Nutrition Examination Surveys 2003-2006.,Vitamin D intake,lower prevalence of metabolic syndrome,-1,0.4,effect size,,-1,0.3132096301714506,7.255844346295903e-16,True,c,b,False,False
22413045,alcohol,vitd,Sex-specific relationships between alcohol consumption and vitamin D levels: The Korea National Health and Nutrition Examination Survey 2009.,alcohol consumption,vitamin D levels,1,1.21,effect size,,1,3.36323358117701,4.164890473634367e-22,True,b,c,False,True
22321717,alcohol,mets,Gender-specific relationships between alcohol drinking patterns and metabolic syndrome: the Korea National Health and Nutrition Examination Survey 2008.,alcohol drinking patterns,metabolic syndrome,1,,wording,,-1,0.1916591062615039,5.6152906433511786e-05,False,b,b,True,True
25839764,uric,steatosis,Association between serum uric acid and nonalcoholic fatty liver disease in the US population.,serum uric acid,nonalcoholic fatty liver disease,1,1.4,effect size,,1,0.5529629873741331,0.0001774365211217,True,c,b,False,False
24396662,vitd,insulin_resistance,Adiposity in the Relationship between Serum Vitamin D Level and Insulin Resistance in Middle-Aged and Elderly Korean Adults: The Korea National Health and Nutrition Examination Survey 2008.,Serum Vitamin D Level,Insulin Resistance,-1,,wording,,-1,1.94421218715841,5.488470783174397e-09,True,c,b,False,False
24140234,vitd_deficiency,sarcopenia,"A positive association of vitamin D deficiency and sarcopenia in 50 year old women, but not men.",vitamin D deficiency,sarcopenia,1,,wording,,1,0.3526651636721417,0.0106595683722673,True,b,b,True,False
23769485,bmi,mets,Association of physical activity and body mass index with metabolic syndrome among U.S. adolescents with disabilities.,body mass index,metabolic syndrome,1,,wording,,1,1.3369661278953726,0.0,True,c,b,False,False
25549052,platelet,mets,The association between platelet count and metabolic syndrome in children and adolescents.,platelet count,metabolic syndrome,1,,wording,,1,0.221282993563564,2.2733611278771663e-43,True,c,b,False,False
25485770,vitd,dm,Inverse association between high blood 25-hydroxyvitamin D levels and diabetic retinopathy in a representative Korean population.,high blood 25-hydroxyvitamin D levels,diabetic retinopathy,-1,0.15,effect size,,-1,0.1689394177274792,1.0133538241053788e-06,True,c,b,False,False
25045234,sarcopenia,osteoporosis,The association between the low muscle mass and osteoporosis in elderly Korean people.,the low muscle mass,osteoporosis,1,2.12,effect size,,1,0.9937466223719876,5.3340533777549367e-08,True,b,b,True,False
24974978,alcohol,obesity,Analysis of NHANES 1999-2002 data reveals noteworthy association of alcohol consumption with obesity.,alcohol consumption,obesity,1,,wording,,-1,0.1744487566373234,0.0004499119230107,False,b,b,True,True
24914701,sarcopenia,mets,Association between sarcopenia and metabolic syndrome in chronic obstructive pulmonary disease: the Korea National Health and Nutrition Examination Survey (KNHANES) from 2008 to 2011.,sarcopenia,metabolic syndrome,1,1.88,effect size,,-1,1.1935785403531072,1.4886046943933672e-16,False,b,b,True,False
24878040,vitd_deficiency,osteoporosis,The combination of vitamin D deficiency and mild to moderate chronic kidney disease is associated with low bone mineral density and deteriorated femoral microarchitecture: results from the KNHANES 2008-2011.,The combination of vitamin D deficiency,low bone mineral density and deteriorated femoral microarchitecture,1,,wording,,1,0.4376975813451781,0.0077694143461479,True,b,b,True,False
