pmid,var_a,var_b,title,phrase_a,phrase_b,lit_sign,lit_est,basis,polarity_flipped,corpus_sign,corpus_absmag,corpus_q,agree
31852225,uric,prediabetes,Association Between Serum Uric Acid and Prediabetes in the Korean General Population.,Serum Uric Acid,Prediabetes,1,1.84,effect size,,1,0.156306644925914,5.476300463355455e-13,True
33390392,sarcopenia,vitd,Low Muscle Mass Is Associated with Lower 25-Hydroxyvitamin D Level in All Age Groups of South Korean Adults: The 2009-2010 Korea National Health and Nutrition Examination Surveys (KNHANES).,Low Muscle Mass,Lower 25-Hydroxyvitamin D Level,1,,wording,vitd,-1,0.20720493291913097,0.0037006448023207,False
40978534,obesity,prediabetes,The relationship between sarcopenic obesity and prediabetes in adolescents: Analysis of the national health and nutrition examination survey from 2011 to 2016.,sarcopenic obesity,prediabetes,1,,wording,,1,0.5344556594021224,6.613797640655247e-75,True
25549052,platelet,mets,The association between platelet count and metabolic syndrome in children and adolescents.,platelet count,metabolic syndrome,1,,wording,,1,0.22128299356356404,2.2733611278771663e-43,True
24586986,vitd,mets,Association between vitamin D status and risk of metabolic syndrome among Korean postmenopausal women.,vitamin D status,risk of metabolic syndrome,-1,,wording,,-1,0.31320963017145065,7.255844346295903e-16,True
22793651,vitd,mets,Vitamin D intake and status are associated with lower prevalence of metabolic syndrome in U.S. adults: National Health and Nutrition Examination Surveys 2003-2006.,Vitamin D intake,lower prevalence of metabolic syndrome,-1,0.4,effect size,,-1,0.31320963017145065,7.255844346295903e-16,True
41531222,dm,uric,Association between diabetes duration and hyperuricemia: Korea National Health and Nutrition Examination Survey 2016 to 2021.,diabetes duration,hyperuricemia,1,,wording,,-1,0.133695189273616,0.0025348465533476,False
33051586,smoking,bmi,Roles of drinking and diet in the U-shaped relationship between smoking and BMI in middle-aged and elderly Chinese rural adults.,smoking,BMI,1,,wording,,-1,0.204625410882196,0.1271734551116324,False
35846319,steatosis,fn_bmd,Association of Metabolic Dysfunction-Associated Fatty Liver Disease and Liver Stiffness With Bone Mineral Density in American Adults.,Metabolic Dysfunction-Associated Fatty Liver Disease,Bone Mineral Density,1,,wording,,1,0.5195546176874005,4.561303927343769e-26,True
21693063,alcohol,mets,Alcohol use behaviors and risk of metabolic syndrome in South Korean middle-aged men.,Alcohol use behaviors,metabolic syndrome,1,2.99,effect size,,-1,0.19165910626150398,5.6152906433511786e-05,False
35802704,smoking,dyslipidemia,Association between dual smoking and dyslipidemia in South Korean adults.,dual smoking,dyslipidemia,1,1.66,effect size,,1,0.218347104822309,1.4705587054893577e-08,True
30095318,platelet,insulin_resistance,Relationship Between Platelet Count and Insulin Resistance in Korean Adolescents: A Nationwide Population-Based Study.,Platelet Count,Insulin Resistance,1,,wording,,1,0.07520892204142315,0.0037279439226055,True
36634403,bmi,dm,The association of body mass index and odds of type 2 diabetes mellitus varies by race/ethnicity.,body mass index,odds of type 2 diabetes mellitus varies by race/ethnicity,1,,wording,,1,0.5532897468009513,1.1172432892929438e-148,True
37267998,vitd,abdominal_obesity,Association between the serum vitamin D level and prevalence of obesity/abdominal obesity in women with infertility: a cross-sectional study of the National Health and Nutrition Examination Survey data.,the serum vitamin D level,prevalence of obesity/abdominal obesity,1,8.29,effect size,,-1,3.1038846508543,7.984054293822354e-28,False
34712705,wc,htn,"Association Between Waist Circumference and the Prevalence of (Pre) Hypertension Among 27,894 US Adults.",Waist Circumference,the Prevalence of (Pre) Hypertension,1,,wording,,1,0.6267387940931085,6.268421979628933e-222,True
37130102,smoking,uric,Association between smoking behavior and serum uric acid among the adults: Findings from a national cross-sectional study.,smoking behavior,serum uric acid,1,1.84,effect size,,1,0.02634887598162569,0.2857185156292451,True
40529693,mets,age,Evaluating the impact of metabolic syndrome on aging in US adults: a cross-sectional study from NHANES.,metabolic syndrome,aging,1,,wording,,1,0.6960616626202225,0.0,True
35100057,vitd,sarcopenia,"Associations of Serum Vitamin D Level with Sarcopenia, Non-Alcoholic Fatty Liver Disease (NAFLD), and Sarcopenia in NAFLD Among People Aged 50 Years and Older: The Korea National Health and Nutrition Examination Survey IV-V.",Serum Vitamin D Level,Sarcopenia,1,2.25,effect size,,-1,0.20720493291913097,0.0037006448023207,False
24974978,alcohol,obesity,Analysis of NHANES 1999-2002 data reveals noteworthy association of alcohol consumption with obesity.,alcohol consumption,obesity,1,,wording,,-1,0.17444875663732348,0.0004499119230107,False
35593078,alcohol,htn,Association between excessive alcohol consumption and hypertension control in hypertensive patients.,excessive alcohol consumption,hypertension control,1,1.31,effect size,,-1,0.21743795638856808,0.0004314897147142,False
34499132,alcohol,dm,Association of Habitual Alcohol Consumption With Long-term Risk of Type 2 Diabetes Among Women With a History of Gestational Diabetes.,Habitual Alcohol Consumption,Long-term Risk of Type 2 Diabetes,-1,,wording,,-1,0.4123100076634175,1.3302566346638356e-08,True
31474679,vitd,steatosis,Association between Vitamin D Status and Non-Alcoholic Fatty Liver Disease: A Population-Based Study.,Vitamin D Status,Non-Alcoholic Fatty Liver Disease,1,1.314,effect size,,-1,0.3105139585141629,0.0080530566368898,False
42260836,dm,sarcopenia,Systemic inflammatory biomarkers and their partial role in the association between diabetes and sarcopenia: A population-based study using NHANES data.,diabetes,sarcopenia,1,,wording,,1,0.779330518670775,7.58841990000453e-05,True
25907223,vitd,htn,Association of Serum 25-Hydroxyvitamin D and Parathyroid Hormone With Hypertension in Middle-Aged and Older Korean Adults.,Serum 25-Hydroxyvitamin D,Hypertension,1,,wording,,-1,0.433990228023028,0.0190002641540775,False
41377331,vitd,masld,Association between serum vitamin D levels and metabolic dysfunction-associated steatotic liver disease: a cross-sectional study based on NHANES 2021-2023.,serum vitamin D levels,metabolic dysfunction-associated steatotic liver disease,-1,,wording,,-1,0.09161312975240803,0.0032703772548778,True
24878040,vitd_deficiency,osteoporosis,The combination of vitamin D deficiency and mild to moderate chronic kidney disease is associated with low bone mineral density and deteriorated femoral microarchitecture: results from the KNHANES 2008-2011.,The combination of vitamin D deficiency,low bone mineral density and deteriorated femoral microarchitecture,1,,wording,,1,0.4376975813451781,0.0077694143461479,True
33747462,vitd,dm,"Association of dietary calcium, magnesium, and vitamin D with type 2 diabetes among US adults: National health and nutrition examination survey 2007-2014-A cross-sectional study.",vitamin D,type 2 diabetes,-1,0.79,effect size,,-1,0.1689394177274792,1.0133538241053788e-06,True
34857993,anemia,vitd,Gender difference in the relationship between anemia and vitamin D in Korean adults: the fifth Korea National Health and Nutrition Examination Survey.,anemia,vitamin D,1,1.31,effect size,,-1,3.08311295787524,1.7825389325067621e-13,False
40770292,alcohol,htn,Association between daily alcohol intake and hypertension prevalence: evidence from the 2007-2018 NHANES database.,daily alcohol intake,hypertension prevalence,1,1.007,effect size,,-1,0.21743795638856808,0.0004314897147142,False
