pmid,title,phrase_a,phrase_b,var_a,var_b,correct,adjudication_note
30339684,Modeling the impact of obesity on the lifetime risk of chronic kidney disease in the United States using updated estimates of GFR progression from the CRIC study.,obesity,the lifetime risk of chronic kidney disease,obesity,ckd,1,
31110956,Association Between Vitamin D Deficiency and Suspected Nonalcoholic Fatty Liver Disease in an Adolescent Population.,Vitamin D Deficiency,Suspected Nonalcoholic Fatty Liver Disease,vitd_deficiency,steatosis,1,
41760055,Effect of median liver stiffness on chronic heart failure by alcohol intake in the NHANES population: A cross-sectional study.,median liver stiffness,chronic heart failure by alcohol intake,lsm,alcohol,0,outcome is heart failure; alcohol is an effect modifier
37229472,Association of predicted fat mass and lean body mass with diabetes: a longitudinal cohort study in an Asian population.,lean body mass,diabetes,lean_kg,dm,1,
22114591,Association between Serum Uric Acid Levels and Diabetes Mellitus.,Serum Uric Acid Levels,Diabetes Mellitus,uric,dm,1,
34341438,No association between serum uric acid and lumbar spine bone mineral density in US adult males: a cross sectional study.,serum uric acid,lumbar spine bone mineral density,uric,ls_bmd,1,
31836793,Association between anemia and hyperuricemia: results from the Korean National Health and Nutrition Examination Survey.,anemia,hyperuricemia,anemia,uric,1,
31805471,"Surrogate indexes of insulin resistance and risk of metabolic syndrome in non-Hispanic White, non-Hispanic Black and Mexican&#xa0;American.",Surrogate indexes of insulin resistance,metabolic syndrome,insulin_resistance,mets,1,
24396662,Adiposity in the Relationship between Serum Vitamin D Level and Insulin Resistance in Middle-Aged and Elderly Korean Adults: The Korea National Health and Nutrition Examination Survey 2008.,Serum Vitamin D Level,Insulin Resistance,vitd,insulin_resistance,1,
29966289,Fat Mass Is Associated with Serum 25-Hydroxyvitamin D Concentration Regardless of Body Size in Men.,Fat Mass,Serum 25-Hydroxyvitamin D Concentration Regardless of Body Size,fat_kg,vitd,1,
23543212,"Association between metabolic syndrome and bone mineral density in Korea: the Fourth Korea National Health and Nutrition Examination Survey (KNHANES IV), 2008.",metabolic syndrome,bone mineral density,mets,osteoporosis,1,
32758065,"Sex and Region-Specific Associations of Bone Mineral Content, Muscle Mass, and Fat Mass with Insulin Resistance.",Fat Mass,Insulin Resistance,fat_kg,insulin_resistance,1,
21128002,"Relationship between obesity and diabetes in a US adult population: findings from the National Health and Nutrition Examination Survey, 1999-2006.",obesity,diabetes,obesity,dm,1,
26245182,[The Association Between Food Prices and the Blood Glucose Level of US Adults With Type 2 Diabetes].,the Blood Glucose Level of US Adults,Type 2 Diabetes],glucose,dm,0,exposure is food prices; type 2 diabetes is the study population
34654242,Associations between dietary protein and vitamin intake and the physical functioning of older adults with sarcopenia.,vitamin intake and the physical functioning of older adults,sarcopenia,age,sarcopenia,0,exposure is dietary protein/vitamin intake; sarcopenia is the population
32582737,Association of Serum Uric Acid Status With Bone Mineral Density in Adolescents Aged 12-19 Years.,Serum Uric Acid Status,Bone Mineral Density,uric,osteoporosis,1,
40046913,The nonlinear relationship between the ratio of non-high-density lipoprotein cholesterol to high-density lipoprotein cholesterol and the risk of diabetic kidney disease in patients with type 2 diabetes mellitus.,cholesterol to high-density lipoprotein cholesterol,diabetic kidney disease,hdl,dm,0,"exposure is the non-HDL to HDL ratio, a distinct construct"
17725630,How does ethnicity affect the association between obesity and diabetes?,obesity,diabetes?,obesity,dm,1,
21412268,Association of standardized estimated glomerular filtration rate with the prevalence of hypertension among adults in the United States.,standardized estimated glomerular filtration rate,the prevalence of hypertension,egfr,htn,1,
42354344,"Association Between Nutritional Biomarkers and Low Muscle Mass, Obesity, and Low Muscle Mass with Obesity Across Physical Activity Levels Among U.S. Adults: Finding from the National Health and Nutrition Examination Survey 2015-2018.","Low Muscle Mass, Obesity, and Low Muscle Mass",Obesity Across Physical Activity Levels,sarcopenia,obesity,0,"exposure is nutritional biomarkers, not low muscle mass"
37614028,Association between lean body mass and hypertension: A cross-sectional study of 50&#xa0;159 NHANES participants.,lean body mass,hypertension,lean_kg,htn,1,
40657214,The Association Between Waist Circumference and the Risk of Osteoporosis in Non-overweight US Adults.,Waist Circumference,the Risk of Osteoporosis,wc,osteoporosis,1,
39744530,Association between waist-to-height ratio and osteoporosis in the National Health and Nutrition Examination Survey: a cross-sectional study.,waist-to-height ratio,osteoporosis,whtr,osteoporosis,1,
39046471,Association of a dietary pattern related to serum vitamin D levels with metabolic syndrome risk among Korean adults: based on the Korean national health and nutrition examination survey.,a dietary pattern related to serum vitamin D levels,metabolic syndrome risk,vitd,mets,0,"exposure is a dietary pattern, not vitamin D itself"
38966416,"A combined association of obesity, alanine aminotransferase and creatinine with hyperuricemia in youth aged 13-20&#x2009;years.","obesity, alanine aminotransferase",hyperuricemia,alt,uric,1,
42300296,Association of Obesity Indicators with Gestational Diabetes: A Comparative Study from NHANES.,Obesity Indicators,Gestational Diabetes,obesity,dm,1,
40747336,Association between triglyceride-glucose index and its obesity indicators with hypertension in postmenopausal women: a cross-sectional study.,its obesity indicators,hypertension,obesity,htn,1,
23017312,Age- and gender-specific associations between low serum 25-hydroxyvitamin D level and type 2 diabetes in the Korean general population: analysis of 2008-2009 Korean National Health and Nutrition Examination Survey data.,low serum 25-hydroxyvitamin D level,type 2 diabetes,vitd,dm,1,
37884990,"Association of a history of gestational diabetes mellitus with osteoporosis, bone mineral density, and trabecular bone score in postmenopausal women.",a history of gestational diabetes mellitus,osteoporosis,dm,osteoporosis,1,
35168655,Positive association between high-density lipoprotein cholesterol and bone mineral density in U.S. adults: the NHANES 2011-2018.,high-density lipoprotein cholesterol,bone mineral density,hdl,osteoporosis,1,
