exp,out,measure,est_mec,p_mec,est_saf,p_saf
age,dm,OR,2.42123519272357,9.92219561858113e-62,2.45394784384229,2.5955546918322597e-62
men,dm,OR,1.24348759617055,2.35870961401293e-05,1.23665831524547,3.1207186215269e-05
bmi,dm,OR,2.01356276539723,9.69639017091858e-54,2.01929177022788,6.64036130278652e-54
smoking,dm,OR,1.08480583183121,0.127882812793089,1.08473913264489,0.135624643047462
alcohol,dm,OR,0.689068560953341,2.27412906506532e-06,0.685664705238054,9.68866060634541e-07
wc,dm,OR,2.26426856427273,5.899771221558789e-57,2.26302187127656,3.0567160643294597e-56
height,dm,OR,0.903001626180021,0.0104075782781818,0.909587130744199,0.0243413910372105
weight,dm,OR,1.94698506679986,1.5239012050306899e-49,1.95188865323095,9.77941242330096e-50
whtr,dm,OR,2.36303669181121,2.53600456400771e-59,2.36058089503322,2.7252674432827903e-58
fat_kg,dm,OR,2.08532480487605,9.72048956627642e-23,2.10039547872822,2.69161804158277e-22
lean_kg,dm,OR,2.70606632827104,5.46879694706663e-28,2.72420902069633,2.1988559737880998e-27
asmm_kg,dm,OR,2.26387375426948,4.08830855299063e-20,2.27838499881561,1.11366507036599e-19
asmi,dm,OR,2.28656244103354,8.08559245216564e-27,2.28555044210403,2.68519803429798e-26
bodyfat_pct,dm,OR,2.3787991220959,1.16288217149171e-15,2.39898497695323,4.1928565223254e-15
asm_pct,dm,OR,0.35779392102247,7.93110178094898e-16,0.355712213628083,3.720313967725611e-15
obesity,dm,OR,3.67287441821465,6.59389815600459e-46,3.66454948328029,1.0289205473732501e-45
overweight,dm,OR,3.57806723734911,1.7149394817734402e-35,3.5290357236836,1.6246573747868701e-35
abdominal_obesity,dm,OR,3.79844067077264,1.70102615561497e-38,3.7629223903285,4.36647966090414e-38
central_obesity,dm,OR,5.06411290118441,2.92314541675569e-17,4.89563197420603,8.25931036982876e-17
high_bodyfat,dm,OR,4.08279072416016,1.96341906321353e-14,4.01910357548307,1.7143263857727e-14
sarcopenia,dm,OR,0.571587666466669,0.153330257766304,0.568358307568459,0.151081268488559
sbp,dm,OR,1.20828990863238,1.7762474051933e-07,1.19877775277725,5.1864429795872e-07
dbp,dm,OR,1.06245432640908,0.0216879289761376,1.06303279238109,0.0220239841493788
tg,dm,OR,1.42281559424224,1.4577420752755602e-20,1.41599434855597,3.07307224150137e-21
tchol,dm,OR,0.736827150558851,1.16365432492796e-13,0.738683292997644,5.976949894465981e-14
hdl,dm,OR,0.569613728961952,7.36442936436703e-20,0.572698287959408,6.59527006054758e-21
ldl,dm,OR,0.660256075086764,1.77493683874323e-20,0.664515369457408,3.43594442308274e-20
nonhdl,dm,OR,0.857489718792699,2.26988212772129e-05,0.858426886657441,1.54615624056795e-05
alt,dm,OR,1.20899513799657,2.37110395386274e-10,1.20300308096905,7.92928051302153e-10
ast,dm,OR,1.06226274467444,0.0127699062716668,1.06166143316849,0.0117611671580781
creatinine,dm,OR,1.01213516105365,0.800424570896055,1.01417863958194,0.761057396763572
egfr,dm,OR,1.1278276720897,0.0297987869393301,1.12793822230286,0.027410632192516
