papers,in_corpus,abs_log_or,a,b
1,True,0.7029560828471197,Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30),Insulin resistance (HOMA-IR>=2.5)
1,True,0.8610740217743045,"Overweight (KSSO >=23 / WHO >=25, country-specific)","Alanine aminotransferase, IU/L"
6,True,0.2849052540249139,Ever alcohol (past/current),Metabolic syndrome
3,True,,"Serum 25(OH)D, ng/mL","Femoral neck BMD, g/cm2"
6,True,0.39227349941369055,Ever smoking (past/current),Metabolic syndrome
1,True,1.4113603398581613,"Overweight (KSSO >=23 / WHO >=25, country-specific)","Osteoporosis (T-score<=-2.5, age>=50)"
1,False,,Hypertension,Metabolic syndrome
6,True,1.333552678672087,Diabetes mellitus,"Obesity (KSSO >=25 / WHO >=30, country-specific)"
7,True,1.020484190157488,Hypertension,"Obesity (KSSO >=25 / WHO >=30, country-specific)"
4,True,2.118390980688332,"Obesity (KSSO >=25 / WHO >=30, country-specific)",Metabolic syndrome
2,False,,"Overweight (KSSO >=23 / WHO >=25, country-specific)","Obesity (KSSO >=25 / WHO >=30, country-specific)"
2,True,0.36761131237083594,"Osteoporosis (T-score<=-2.5, age>=50)",Diabetes mellitus
5,True,1.3369661278953726,"Body mass index, kg/m2",Metabolic syndrome
1,True,0.60450747376948,Hypertension,"Body mass index, kg/m2"
2,False,,Diabetes mellitus,Metabolic syndrome
1,True,,"Alanine aminotransferase, IU/L","Body mass index, kg/m2"
4,False,,Diabetes mellitus,"Fasting glucose, mg/dL"
8,True,0.18437111584616073,"Serum 25(OH)D, ng/mL",Insulin resistance (HOMA-IR>=2.5)
3,True,0.4026285611420519,Diabetes mellitus,Vitamin D deficiency (<20 ng/mL)
3,False,,Hepatic steatosis,Metabolic syndrome
1,True,0.6336948160368365,"Alanine aminotransferase, IU/L",Metabolic syndrome
3,True,1.1395355644755014,Hypertension,Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30)
6,True,1.1516078047068061,Diabetes mellitus,Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30)
1,False,,Metabolic syndrome,"HDL cholesterol, mg/dL"
4,True,,"Total fat mass, kg","Femoral neck BMD, g/cm2"
2,True,,"Total lean mass, kg","Femoral neck BMD, g/cm2"
1,True,0.21344727756023402,Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30),"White blood cell count, 10^3/uL"
1,True,0.2828516774333946,Hypertriglyceridemia (NCEP TG>=150),Prediabetes
1,True,0.02775604612300262,Ever alcohol (past/current),"Aspartate aminotransferase, IU/L"
2,True,1.3047441263668131,"Age, years",Hypertension
1,True,0.3076521785796165,Ever alcohol (past/current),Insulin resistance (HOMA-IR>=2.5)
4,True,0.11317437279170546,Diabetes mellitus,"Serum uric acid, mg/dL"
1,True,0.8977330315656654,"Osteoporosis (T-score<=-2.5, age>=50)",Hepatic steatosis
7,True,0.4123100076634175,Ever alcohol (past/current),Diabetes mellitus
1,False,,Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30),"eGFR (CKD-EPI 2021), mL/min/1.73m2"
5,True,0.765097910818375,"Serum uric acid, mg/dL",Metabolic syndrome
2,True,0.26173468019045376,Ever alcohol (past/current),Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30)
2,True,0.22106212639316827,Ever smoking (past/current),"Hemoglobin, g/dL"
3,True,0.35709021597980944,"Low muscle mass (low ASMI, AWGS cut)",Vitamin D deficiency (<20 ng/mL)
5,False,,"Osteoporosis (T-score<=-2.5, age>=50)","Femoral neck BMD, g/cm2"
10,True,0.1689394177274792,"Serum 25(OH)D, ng/mL",Diabetes mellitus
3,True,0.24136534879374744,Ever smoking (past/current),Dyslipidemia (KSoLA composite)
1,True,0.17417190339044578,Hypertension,"eGFR (CKD-EPI 2021), mL/min/1.73m2"
2,True,0.1543211193403229,"eGFR (CKD-EPI 2021), mL/min/1.73m2",Metabolic syndrome
1,True,0.5213646298077749,"Overweight (KSSO >=23 / WHO >=25, country-specific)",Anemia (WHO)
8,True,0.31320963017145065,"Serum 25(OH)D, ng/mL",Metabolic syndrome
1,True,0.33371446493266965,"Serum 25(OH)D, ng/mL",Ever alcohol (past/current)
2,True,0.5529629873741331,"Serum uric acid, mg/dL",Hepatic steatosis
1,True,1.007417870495412,"HbA1c, %",Metabolic syndrome
3,True,1.2927939997580942,"Low muscle mass (low ASMI, AWGS cut)",Insulin resistance (HOMA-IR>=2.5)
1,True,,"Serum 25(OH)D, ng/mL","Hemoglobin, g/dL"
1,True,0.2258848006623091,"Osteoporosis (T-score<=-2.5, age>=50)",Dyslipidemia (KSoLA composite)
3,True,,"Serum 25(OH)D, ng/mL","Body mass index, kg/m2"
1,True,0.8284216418830217,"Osteoporosis (T-score<=-2.5, age>=50)",Metabolic syndrome
1,True,0.15249081967268788,"Femoral neck BMD, g/cm2",Vitamin D deficiency (<20 ng/mL)
1,True,0.7805838482212685,"Low muscle mass (low ASMI, AWGS cut)","Femoral neck BMD, g/cm2"
2,True,0.15579594592581072,Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30),"Femoral neck BMD, g/cm2"
4,True,0.49919561865384027,"Femoral neck BMD, g/cm2",Metabolic syndrome
2,True,0.12192922636031749,"Age, years","Obesity (KSSO >=25 / WHO >=30, country-specific)"
2,True,0.18464874222828337,"Serum 25(OH)D, ng/mL","Osteoporosis (T-score<=-2.5, age>=50)"
1,True,0.12456448166168287,Prediabetes,"Hemoglobin, g/dL"
1,True,0.22128299356356404,"Platelet count, 10^3/uL",Metabolic syndrome
1,True,0.5108391120262417,"Obesity (KSSO >=25 / WHO >=30, country-specific)","Systolic blood pressure, mmHg"
2,True,,"Body fat, %","Femoral neck BMD, g/cm2"
3,True,1.9252841360552706,"Low muscle mass (low ASMI, AWGS cut)","Osteoporosis (T-score<=-2.5, age>=50)"
2,True,0.17444875663732348,Ever alcohol (past/current),"Obesity (KSSO >=25 / WHO >=30, country-specific)"
1,False,,"Waist circumference, cm","Body mass index, kg/m2"
7,True,2.23345272702575,"Low muscle mass (low ASMI, AWGS cut)",Metabolic syndrome
1,True,0.4376975813451781,"Osteoporosis (T-score<=-2.5, age>=50)",Vitamin D deficiency (<20 ng/mL)
1,True,0.6373938947589916,"Osteoporosis (T-score<=-2.5, age>=50)",Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30)
1,False,,"Systolic blood pressure, mmHg",Metabolic syndrome
1,True,,"Age, years","HbA1c, %"
5,True,,"Femoral neck BMD, g/cm2","Body mass index, kg/m2"
2,True,0.3852448946222496,"HbA1c, %",Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30)
4,True,0.317983775620261,"Serum 25(OH)D, ng/mL",Anemia (WHO)
1,True,0.23273559876276723,"Low muscle mass (low ASMI, AWGS cut)","White blood cell count, 10^3/uL"
7,True,0.8809017137557531,"Femoral neck BMD, g/cm2","Obesity (KSSO >=25 / WHO >=30, country-specific)"
6,True,0.21743795638856808,Hypertension,Ever alcohol (past/current)
1,True,0.19376709143564988,"Osteoporosis (T-score<=-2.5, age>=50)","Serum creatinine, mg/dL"
2,True,0.0584333151892505,"Serum 25(OH)D, ng/mL",Hypertension
2,True,0.5013568161991582,"Low muscle mass (low ASMI, AWGS cut)",Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30)
1,False,,"Hemoglobin, g/dL",Anemia (WHO)
1,True,0.07278675760447947,Advanced liver fibrosis (FIB-4>2.67),"Triglycerides, mg/dL"
6,True,,"Femoral neck BMD, g/cm2","Serum uric acid, mg/dL"
4,True,0.35147270223686167,"Serum 25(OH)D, ng/mL","Obesity (KSSO >=25 / WHO >=30, country-specific)"
1,True,0.1368828592948817,Ever alcohol (past/current),"Hemoglobin, g/dL"
1,True,2.03287053062621,Insulin resistance (HOMA-IR>=2.5),"Obesity (KSSO >=25 / WHO >=30, country-specific)"
1,True,0.4379888080851085,Male sex,Metabolic syndrome
