year,NHANES,KNHANES,union,both,NHANES_published
2003,244,0,244,0,244
2004,255,3,258,0,258
2005,327,4,331,0,331
2006,304,12,315,1,315
2007,375,8,383,0,382
2008,462,13,475,0,473
2009,514,36,549,1,548
2010,661,54,714,1,710
2011,669,93,760,2,751
2012,660,138,793,5,784
2013,865,223,1082,6,1068
2014,901,305,1202,4,1187
2015,904,383,1284,3,1259
2016,985,414,1398,1,1375
2017,946,388,1334,0,1316
2018,1026,437,1458,5,1428
2019,1059,385,1441,3,1429
2020,1214,448,1655,7,1630
2021,1523,450,1967,6,1944
2022,2162,412,2567,7,2537
2023,2774,387,3152,9,3127
2024,4840,390,5226,4,5202
2025,6438,472,6896,14,6873
2026,3689,405,4073,21,4055
