exp,out,measure,est,lo,hi,p,n,adj,q
age,dm,OR,2.74906887051506,2.64501942380262,2.85721140148381,0.0,35801,unadjusted,0.0
men,dm,OR,1.30891887447729,1.21918447493047,1.40525790410889,1.42662726468565e-13,35801,unadjusted,3.6122079268316744e-13
bmi,dm,OR,1.73896437073969,1.67215183505083,1.80844646958161,7.77185138775614e-150,35801,"Age, years, Male sex",1.1172432892929438e-148
smoking,dm,OR,1.37556881972338,1.22810182322057,1.54074323644687,3.87249324598974e-08,35801,"Age, years, Male sex",7.994678319094881e-08
alcohol,dm,OR,0.870805792698293,0.781624526271058,0.970162402930958,0.0121438834801024,35801,"Age, years, Male sex",0.01726147013479881
wc,dm,OR,1.97785677583732,1.89407030271381,2.06534964416084,3.34993585308053e-181,35801,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",6.343265631478294e-180
height,dm,OR,1.00331149296252,0.941721474103175,1.06892959287068,0.91853917184971,35801,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",0.9290910290794596
weight,dm,OR,1.77793586435352,1.69811386598234,1.86150999710838,4.2014514546651705e-121,35801,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",4.653305667714066e-120
whtr,dm,OR,1.99780335960488,1.91127138289396,2.08825303375035,1.07905191562705e-178,35801,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.9691299724551656e-177
fat_kg,dm,OR,1.49891041685062,1.33899008458684,1.67793060128339,7.12721070711142e-12,35801,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.6995285112015178e-11
lean_kg,dm,OR,1.5732848544215,1.31752684803945,1.87869054572616,7.81276485875734e-07,35801,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.5202518139526714e-06
asmm_kg,dm,OR,1.16093175166461,0.96245177285747,1.40034292629711,0.119440835052163,35801,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",0.14801921923072417
asmi,dm,OR,1.22328571569392,1.06072149727462,1.41076422610992,0.0058191236382637,35801,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",0.00861856747433337
bodyfat_pct,dm,OR,1.59743603343253,1.35853859818146,1.87834330531683,2.51227622464968e-08,35801,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",5.22636554236041e-08
