exp,out,measure,est,lo,hi,p,n,adj,q
age,dm,OR,2.38124496707377,2.27732415710414,2.48990798061204,5.80732046555766e-70,25660,unadjusted,7.657919920582035e-68
men,dm,OR,1.18087967962587,1.07676060797561,1.29506670974435,0.0005845941635805,25660,unadjusted,0.0010686943212220232
bmi,dm,OR,2.04301321025974,1.94420899306478,2.1468386331843,4.1589501586080094e-55,25660,"Age, years, Male sex",1.8486299806127287e-53
smoking,dm,OR,1.12333132285564,1.01292070810639,1.24577694069224,0.0294738237449309,25660,"Age, years, Male sex",0.04212371630597784
alcohol,dm,OR,0.69603669255965,0.611185775200076,0.792667462247109,2.5437178096314e-07,25660,"Age, years, Male sex",6.289342284313637e-07
wc,dm,OR,2.28248215584951,2.1646348540015,2.40674531417658,4.1983702739873e-58,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.3726789719848227e-56
height,dm,OR,0.88483463826955,0.826320634322511,0.947492177444558,0.0006441915814131,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",0.001170074332447302
weight,dm,OR,1.97549527956735,1.87845565863193,2.07754789508054,9.838004198305771e-52,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",3.243262050708136e-50
whtr,dm,OR,2.39912955646205,2.27196238096699,2.53341458331718,1.46554141024272e-59,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",9.351099707935807e-58
fat_kg,dm,OR,1.98437310395929,1.80168711124353,2.1855829412018,4.3704675381114e-22,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.8158908112001133e-21
lean_kg,dm,OR,2.55534817512876,2.23586401579766,2.92048364748352,7.4335137654153395e-22,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",4.675195620983002e-21
asmm_kg,dm,OR,2.12905586903173,1.86544371934382,2.42991994154233,1.93000832710324e-17,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",9.496409131866191e-17
asmi,dm,OR,2.11578673952006,1.89397784535881,2.36357227625377,5.1636349105269905e-21,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",3.1091841257297985e-20
bodyfat_pct,dm,OR,2.23307657778476,1.90903844134027,2.6121165997841,2.4577926463753e-15,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.0354662096976238e-14
asm_pct,dm,OR,0.377560985957885,0.312415613495154,0.45629056922823,2.10885391216598e-15,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",8.913062047573309e-15
obesity,dm,OR,3.79450010932052,3.36587740031857,4.27770514703556,2.2062779660838598e-43,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",4.717857099366351e-42
overweight,dm,OR,3.47219860346951,3.00055738689484,4.01797452519716,5.27128767068842e-33,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",6.705213512939996e-32
abdominal_obesity,dm,OR,3.75898417627978,3.29979248874339,4.28207594438846,1.05114675296673e-39,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.831866323672416e-38
central_obesity,dm,OR,5.15140178902768,3.74199712897861,7.09165172428685,1.39673488241666e-17,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",6.9415618025632e-17
high_bodyfat,dm,OR,2.55168078776246,1.96971154052841,3.30559815925601,7.457157989708731e-10,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.231506581489239e-09
sarcopenia,dm,OR,1.171706728698,0.599317281273321,2.29076768011643,0.644572073445624,25660,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",0.6895422181046209
sbp,dm,OR,1.13994344171548,1.07725165259678,1.20628364521668,1.37356179583164e-05,25660,"Age, years, Male sex, Body mass index, kg/m2, Ever smoking (past/current), Ever alcohol (past/current)",2.934022928893071e-05
dbp,dm,OR,0.936926751997972,0.885922906396203,0.990866961754441,0.024326099134427,25660,"Age, years, Male sex, Body mass index, kg/m2, Ever smoking (past/current), Ever alcohol (past/current)",0.03523765952976683
